ROI,T1w:T2w,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,D1,D2,DAT,GABAa,H3,M1,mGluR5,MOR,NET,NMDA,VAChT
7Networks_LH_DorsAttn_Post_2,1.290952444076538,28.203779477991052,0.25814938793603076,53.7149845493056,2.369004003630855,0.3486452207728865,4.276313764197723,10.022986516328457,1.411129985791742,9.960461584207629,0.10395697520169873,25.104011791723742,719.7929063600192,15.70999010445325,3.7717113233687902,0.06078020950944941,23.27727087305285,0.047708740292800256,5.462449362982534,-0.13243851060165251
7Networks_LH_DorsAttn_Post_3,1.3604390621185303,23.006484320641007,-0.47907493449430066,48.86893247182218,2.075090471391176,0.3457868267254216,3.2915364304888066,9.447175647324812,1.2631143357502603,10.3333895247522,-0.4954116238289292,24.032745127324706,699.9660170175001,14.764430468767063,3.64507511981896,-0.7076662051744945,15.53411674711166,-0.00845951074376517,5.704048320710501,-0.28914664795238637
7Networks_LH_DorsAttn_Post_4,1.3685252666473389,27.761520534987973,-0.4754887799594996,44.78275704265904,1.9776659419595564,0.38841343234490466,4.161249643501038,9.8454069970502,1.2665529547572107,11.417290197464572,-0.08197258493383078,26.490842998427834,703.4563788216518,14.883210856963572,3.6355578675007023,-0.5396825728717356,20.398249291012455,0.04020808894240274,6.408388270196731,-0.149457318886641
7Networks_LH_DorsAttn_Post_5,1.2646573781967163,27.11866504644745,-1.01425907689203,48.72484594614036,2.097385417401648,0.3840827232304552,3.3802762690889585,9.251246662135276,1.2998586575587652,12.34365924013848,-0.4373707947498628,23.467782355643607,697.2941805287106,16.97410888021118,3.9319387148764657,0.3120419579100409,19.972050498171,0.01435408571713315,6.542287413748533,-0.12952343616025472
7Networks_LH_DorsAttn_Post_6,1.2981097698211668,22.116880292077095,-1.3079039622492918,43.901917772768186,1.8840406884689376,0.27797841735317047,3.562240608190418,9.043965892401987,1.260831848665496,8.349885454069524,-0.6608085307006933,21.312478372741445,633.9622944404161,14.978138420741011,3.495803645023933,-1.1545281618050989,18.278427646421363,-0.01181722689412954,5.684022647787457,-0.26949110930339154
7Networks_LH_DorsAttn_PrCv_1,1.3023754358291624,28.642736761537314,1.1544315975840238,57.2998784802471,2.145879025805008,0.44769534877915623,4.158204167185191,10.904493554619881,1.2890971236475888,11.702913739138292,-0.506292091234442,27.711743225143756,768.5848692985847,17.26547076184038,3.35020507456336,0.3525175471482434,25.79154503167912,0.050433139672255,6.357770727431183,0.04752430252435138
7Networks_LH_DorsAttn_FEF_1,1.3209221363067627,24.479327956613513,0.20513547236245305,52.192257095359125,1.8323335831575345,0.3715679374379698,3.44680919228316,10.605203463485035,1.244248669271474,10.54611081266396,-0.87032536744688,24.45790739137618,712.0916641659206,17.78874862805279,3.0327081536839806,-0.6691527222590128,23.683124075707653,0.03518606732945491,6.241889723816511,-0.0119837859873984
7Networks_LH_SalVentAttn_ParOper_1,1.247917890548706,30.356740686019943,0.633355946769259,59.48006762070155,2.640508684572184,0.40354487539978223,4.079394725776425,9.871549495513413,1.4220515444840507,11.753362004037845,0.39516090801204745,25.923605616028244,758.4767867419638,16.188316041162643,3.8945189072602786,1.065305609930706,26.15776137756207,0.023226885312549964,5.74475045187273,-0.044463220425660185
7Networks_LH_SalVentAttn_FrOperIns_1,1.1702793836593628,49.92440464910282,-0.8626672561011143,45.66694266340931,2.3017732824494197,0.5559001011608288,8.85471981959347,9.251291729026486,1.4674911745653647,18.98269145537535,3.5710689447607606,34.3401673904071,739.4017061524784,23.095168506629513,4.094986298281675,0.4434771679556778,30.25742163259008,0.009717854229401406,6.783786789788891,0.8523015000964002
7Networks_LH_SalVentAttn_FrOperIns_2,1.2107009887695312,36.95370291156473,0.5244953162330218,59.01810376324588,2.4379045788297566,0.5897419884168741,6.634860405715312,10.52994965018648,1.3612796047239593,17.866575228782036,2.1336286001184566,34.658993831350784,879.6916375453386,20.646713830918976,3.7665252641656184,1.8433511165662,32.205951942923704,0.010959013586817131,7.478168003150504,0.5917886191058499
7Networks_LH_SalVentAttn_PFCl_1,1.2101581096649168,33.233046722519475,1.3990042148837956,59.32652243630111,2.3155172248941636,0.4837800373729164,4.296053476913729,11.049205122193435,1.4302935575060591,13.39814777534242,-0.1451314166503543,25.176391038963263,757.6279048824699,18.468560149289388,3.916807908042135,0.6067849588005646,30.88245470424789,0.014647797311325116,5.928815221240698,-0.07534943043282803
7Networks_LH_SalVentAttn_Med_1,1.1893160343170166,29.896778935498524,0.6580716815608049,55.57576236633081,2.201828746888383,0.4356974303201014,5.809749547825303,10.664209173442652,1.3936959866746237,16.67549488653166,0.1812262878155539,30.05724219825324,815.0307351588218,24.45133044675586,3.592117635405299,1.1200757521018028,32.755891319600806,0.053351520217689664,6.532656836130331,0.5191187438003922
7Networks_LH_SalVentAttn_Med_2,1.2667163610458374,25.9423669448515,-0.5519544331707921,51.52278601988395,2.190002025844895,0.43011118426238915,5.486402556864546,10.418197847702592,1.3234753155471384,14.989712833185243,-0.41455381252491413,29.997402923275725,737.6309044151974,19.22196024447888,3.6803781203500567,0.7338881763727998,23.38942535336228,0.08628282499649412,6.765709839028776,0.2754100663424985
7Networks_LH_SalVentAttn_Med_3,1.2668869495391843,25.97720684168679,0.13547544727518,53.58599921665517,1.8803389147236993,0.372425158665346,3.8094388507223726,10.325365255887345,1.2868386095338336,10.999799735060853,-0.6310171109039237,23.530561327934265,700.035593173529,22.491772587828564,3.5311866304416406,-0.37358753689650503,25.664674830117697,0.06941512951479342,6.220966681423437,0.13662046116730767
7Networks_LH_Limbic_OFC_1,1.2106002569198608,34.13744409797767,-0.19095953751907427,55.79856481368859,2.232068345135536,0.35410770153323673,5.553539116433055,9.547652968280948,1.3830179758664365,19.70061828266789,0.6064733774693817,30.721875245879296,693.9568038955648,19.961821442422256,3.677335111604172,0.10796860565795206,31.89478382784604,-0.06195608875593061,6.8480160546181645,0.20514779108382497
7Networks_LH_Limbic_TempPole_1,1.1390950679779053,49.71502159859834,-2.5265460058752103,44.51835690434974,2.373919960385036,0.28661602750283866,7.048702877732991,7.723850029043032,1.387636738003425,13.454905208966148,1.8880184370993145,29.84501056047826,497.2816815240075,15.027163701545643,3.49883321279776,-1.0552258044031055,26.677043427829325,-0.14442606724734203,6.465471139027097,-0.20696528746812312
7Networks_LH_Limbic_TempPole_2,1.2206785678863523,39.826036190834984,-0.705620830919186,61.16714255018942,2.6829874746985154,0.5020446555092024,3.6132307740262903,9.387342082352198,1.357785924150784,13.754838827593616,1.99795401078602,27.28917561929057,696.0034318648627,14.618755429283635,3.939943065127923,-0.03269647078887963,25.501326014397534,-0.014718442905556897,6.404282069921653,-0.2629703276279345
